element,id,geometry,description,heritage,historic,image,inscription,material,memorial,name,wikidata,height,start_date,amenity,wheelchair,architect:wikidata,covered,drinking_water,indoor,lit,tourism,heritage:operator,ref:lfd,wikimedia_commons,description:de,note,subject:wikidata,subject:wikipedia,artist_name,wikipedia,year_of_construction,artwork_type,colour,loc_name,min_height,seamark:landmark:category,seamark:landmark:conspicuity,seamark:type,created_by,ele,operator,public_transport,railway,railway:ref,railway:station_category,usage,access,entrance,area,memorial:conflict,website,format,format:top,lfd:criteria,milestone_type,network,panoramax,name:etymology:wikidata,source,name:etymology:wikipedia,board_type,information,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,check_date,check_date:opening_hours,opening_hours,phone,shop,alt_name,flood_date,flood_mark,support,name:de,stone_type,man_made,obelisk:material,obelisk:size,name:en,name:ru,note:de,name:fr,direction,disused,lining,hiking,natural,cemetery,historic:civilization,comment,classification,name:prefix,ref,related:wikipedia,short_name,survey_point:structure,abandoned:military,ruins,boundary,marker,level,length,building,bunker_type,location,military,leisure,place,fixme:wikipedia,toilets:wheelchair,moved,road,year,old_ref,aircraft:type,manufacturer,url,archaeological_site,fortification_type,pump,memorial:type,fixme,artist,backrest,inscription:de,inscription:en,seats,tomb,end_date,highway,name:signed,memorial:addr,person:date_of_birth,person:date_of_death,memorial:text,abandoned:amenity,labor_camp,prison_camp,exhibit,addr:suburb,buried:wikidata,buried:wikimedia_commons,buried:wikipedia,abandoned:man_made,grave,date,brewery,contact:facebook,cuisine,indoor_seating,microbrewery,outdoor_seating,wheelchair:description,beds,email,internet_access,internet_access:fee,rooms,subject:wikimedia_commons,model:wikidata,old_name,ship:type,survey_point:purpose,commemorates:wikidata,commemorates,name:wikipedia,memorial:date,memorial:event,religion,construction_year,direction_east,direction_west,named_after,artist:wikidata,railway_car,leaf_cycle,leaf_type,epigraph,material:de,object:city,object:country,object:housenumber,object:postcode,object:street,width,vehicle_part,electrified,gauge,railway:etcs,railway:preferred_direction,railway:preserved,railway:pzb,railway:track_ref,railway:traffic_mode,building:colour,building:levels,building:levels:underground,fee,roof:colour,roof:height,roof:shape,source:height,fax,building:name,contact:pinterest,contact:twitter,museum,castle_type,max_level,min_level,name:ar,name:es,roof:levels,architect,building:architecture,building:material,contact:youtube,denomination,diocese,emergency,name:be,name:he,name:nl,name:pl,name:uk,name:zh,opening_hours:url,roof:material,bridge,bridge:structure,layer,sac_scale,surface,est_height,roof:orientation,carriage,check_date:tracktype,motor_vehicle,smoothness,tracktype,building:use,disused:denomination,disused:religion,monument:genesis,tower:type,admin_level,government,office,cycleway:both,cycleway:both:lane,foot,hgv:conditional,lanes,lanes:backward,maxspeed,maxweight:hgv,parking:both,razed:railway,sidewalk,source:maxspeed,wheelchair:description:de,charge,disused:man_made,disused:amenity,payment:cash,payment:credit_cards,payment:debit_cards,xmas:day_date,xmas:feature,xmas:name,xmas:opening_hours,castle_type:de,abandoned:power,abandoned:substation,object:suburb,old_operator,water,name:ko,abandoned,functional,windmill:disused,windmill:vanes,3dr:type,building:part,kiln,operator:wikidata,power,substation,barrier,statue,railway:gnt,service,drinking_water:legal,light:method,intermittent,tunnel,waterway,ruins:tourism,cellar:use,storage,ruins:building,abandoned:railway,contact:email,contact:instagram,contact:website,handle,mechanical_driver,pump:style,deanery,parish,ruins:artificial,disused:highway,aeroway,building:min_level,outdoor,historic:period,was:highway,type,contact:phone,stars,operator:type,townhall:type,building:architecture:typology,bicycle,horse
node,10170457797,POINT (13.7921957 51.0506441),,,memorial,"https://commons.wikimedia.org/wiki/File:Stolperstein_f%C3%BCr_Henriette_Bodl%C3%A4nder,_Kyffh%C3%A4userstra%C3%9Fe_15,_Dresden.JPG",Hier wohnte | Henriette | Bodländer | geb. Benger | Jg. 1875 | deportiert 1942 | Theresienstadt | ermordet 15.10.1942,,stolperstein,Henriette Bodländer,,,2022-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10170457798,POINT (13.7921836 51.0506449),,,memorial,"https://commons.wikimedia.org/wiki/File:Stolperstein_f%C3%BCr_Viktor_Bodl%C3%A4nder,_Kyffh%C3%A4userstra%C3%9Fe_15,_Dresden.JPG",Hier wohnte | Viktor Bodländer | Jg. 1868 | deportiert 1942 | Theresienstadt | ermordet 13.11.1942,,stolperstein,Viktor Bodländer,,,2022-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10170457799,POINT (13.792385 51.0581208),,,memorial,"https://commons.wikimedia.org/wiki/File:Stolperstein_f%C3%BCr_Alexander_Jacoby,_Goetheallee_14b,_Dresden.JPG",Hier wohnte | Alexander Jacoby | Jg. 1889 | gedemütigt / entrechtet | 1939 Geschäft arisiert | tot 7. März 1942,,stolperstein,Alexander Jacoby,,,2022-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10170457800,POINT (13.7923891 51.0581155),,,memorial,"https://commons.wikimedia.org/wiki/File:Stolperstein_f%C3%BCr_Johann_Jacoby,_Goetheallee_14b,_Dresden.JPG",Hier wohnte | Johann Jacoby | Jg. 1879 | deportiert 1942 | Riga | ermordet 1942,,stolperstein,Johann Jacoby,,,2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10170457801,POINT (13.7923808 51.0581137),,,memorial,"https://commons.wikimedia.org/wiki/File:Stolperstein_f%C3%BCr_Jenny_Jacoby,_Goetheallee_14b,_Dresden.JPG",Hier wohnte | Jenny Jacoby | geb. Löwald | Jg. 1856 | deportiert 1942 | Theresienstadt | ermordet 27.9.1942,,stolperstein,Jenny Jacoby,,,2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10170494677,POINT (13.7190327 51.0489592),,,memorial,https://commons.wikimedia.org/wiki/File:Stolperstein_Freiberger_Stra%C3%9Fe_43_-_02.jpg,Hier wohnte | Margarete | Schreiber | Jg. 1896 | interniert 1942 | Hellerberge | deportiert 1943 | Auschwitz | ermordet 3.3.1943,,stolperstein,Margarete Schreiber,,,2021-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10170540193,POINT (13.7188514 51.0550908),,,memorial,"https://de.wikipedia.org/wiki/Datei:Stolperstein_f%C3%BCr_Wilhelm_Nollert,_Sch%C3%A4ferstra%C3%9Fe_9,_Dresden.JPG",Hier wohnte | Wilhelm Nollert | Jg. 1895 | Zeuge Jehovas | verhaftet 7.1.1937 | Buchenwald | 1942 Dachau | deportiert 1944 | Majdanek | ermordet 2.3.1944,,stolperstein,Wilhelm Nollert,,,2022-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10170540194,POINT (13.7188621 51.0550887),,,memorial,"https://de.wikipedia.org/wiki/Datei:Stolperstein_f%C3%BCr_Gertrud_Nollert,_Sch%C3%A4ferstra%C3%9Fe_9,_Dresden.JPG",Hier wohnte | Gertrud Nollert | geb. Drechsler | Jg. 1906 | Zeugin Jehovas | verhaftet 30.12.1936 | Moringen | 1938 Lichtenburg | 1939 Ravensbrück | befreit,,stolperstein,Gertrud Nollert,,,2022-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10170558861,POINT (13.6948937 51.0486486),,,memorial,https://commons.wikimedia.org/wiki/File:Stolperstein_Bramschstra%C3%9Fe_2_-_01.jpg,Hier wohnte | Arthur Leuschner | Jg. 1894 | verhaftet 1943 | Zwangsarbeit | deportiert 1943 | Groß-Rosen | 1945 Mauthausen | ermordet 13.3.1945,,stolperstein,Arthur Leuschner,,,2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10170673491,POINT (13.7766106 51.0459367),,,memorial,,Hier wohnte | Margot Natowitz | geb. Höxter | Jg. 1920 | interniert 1942 | Hellerberge | deportiert 1943 | Auschwitz | bei Todesmarsch geflohen | versteckt überlebt,,stolperstein,Margot Natowitz,,,2016-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=232,,,,,,,,,,,,,,,,,,,,,,Margot Höxter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10170673492,POINT (13.7783868 51.04768),,,memorial,"https://de.wikipedia.org/wiki/Datei:Stolperstein_f%C3%BCr_Martin_Gr%C3%BCn,_Holbeinstra%C3%9Fe_139,_Dresden.JPG",Hier wohnte | Martin Grün | Jg. 1876 | gedemütigt / entrechtet | tot 27. Okt. 1939,,stolperstein,Martin Grün,,,2022-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10170673493,POINT (13.7783842 51.0476806),,,memorial,"https://de.wikipedia.org/wiki/Datei:Stolperstein_f%C3%BCr_Frieda_Johanna_Gr%C3%BCn,_Holbeinstra%C3%9Fe_139,_Dresden.JPG",Hier wohnte | Frieda Johanna | Grün | geb. Schlesinger | Jg. 1878 | verhaftet 29.9.1942 | Ravensbrück | deportiert 1942 | Auschwitz | ermordet 10.10.1942,,stolperstein,Frieda Johanna Grün,,,2022-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10170673494,POINT (13.7832985 51.0435869),,,memorial,"https://commons.wikimedia.org/wiki/File:Stolperstein_f%C3%BCr_Maria_Lange,_Geisingstra%C3%9Fe_14,_Dresden.JPG",Hier wohnte | Maria Lange | geb. Stephan | Jg. 1906 | seit 1935 mehrere | Heilanstalten | zwangssterilisiert 1936 | 'verlegt' 27.11.1940 | Pirna-Sonnenstein | ermordet 27.11.1940 | 'Aktion T4',,stolperstein,Maria Lange,,,2022-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10170715796,POINT (13.7725421 51.0676864),,,memorial,"https://commons.wikimedia.org/wiki/File:Stolperstein_f%C3%BCr_Lina_Nachod,_Arndtstra%C3%9Fe_2,_Dresden_(1).JPG",Hier wohnte | Lina Nachod | Jg. 1872 | deportiert 1943 | Theresienstadt | ermordet 22.6.1943,,stolperstein,Lina Nachod,,,2022-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10170739163,POINT (13.7665812 51.0498754),,,memorial,https://commons.wikimedia.org/wiki/File:Stolpersteine_Holbeinstra%C3%9Fe_48_-_07.jpg,Hier wohnte | Charlotte Caro | Jg. 1889 | interniert 1942 | Hellerberge | deportiert 1943 | Auschwitz | ermordet 3.3.1943,,stolperstein,Charlotte Caro,,,2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10170739164,POINT (13.7665842 51.0498749),,,memorial,https://commons.wikimedia.org/wiki/File:Stolpersteine_Holbeinstra%C3%9Fe_48_-_06.jpg,Hier wohnte | Paula Caro | Jg. 1874 | deportiert 1942 | Theresienstadt | ermordet 23.4.1944,,stolperstein,Paula Caro,,,2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10170739165,POINT (13.7665865 51.0498744),,,memorial,https://commons.wikimedia.org/wiki/File:Stolpersteine_Holbeinstra%C3%9Fe_48_-_05.jpg,Hier wohnte | Katharina Caro | Jg. 1873 | deportiert 1942 | Theresienstadt | ermordet 24.3.1944,,stolperstein,Katharina Caro,,,2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10171535274,POINT (13.7616323 51.0438574),,,memorial,https://commons.wikimedia.org/wiki/File:Stolpersteine_St%C3%BCbelallee_7h_-_10.jpg,Hier wohnte | Franz Egon | Steinberg | Jg. 1925 | deportiert 1943 | Auschwitz | 1943 Zwangsarbeit | Ghetto Warschau | 1944 Dachau | befreit,,stolperstein,Franz Egon Steinberg,,,2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10171535275,POINT (13.7616297 51.0438582),,,memorial,https://commons.wikimedia.org/wiki/File:Stolpersteine_St%C3%BCbelallee_7h_-_09.jpg,Hier wohnte | Stefan Manfred | Steinberg | Jg. 1923 | Flucht 1939 | England | englischer Soldat | tot 9.4.1945 | bei Hannover,,stolperstein,Stefan Manfred Steinberg,,,2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10171535276,POINT (13.7616309 51.0438592),,,memorial,https://commons.wikimedia.org/wiki/File:Stolpersteine_St%C3%BCbelallee_7h_-_08.jpg,Hier wohnte | Nelly Steinberg | geb. Kussi | Jg. 1896 | verhaftet 1942 | Ravensbrück | deportiert | Auschwitz | ermordet 15.11.1942,,stolperstein,Nelly Steinberg,,,2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10171535277,POINT (13.7616289 51.0438597),,,memorial,https://commons.wikimedia.org/wiki/File:Stolpersteine_St%C3%BCbelallee_7h_-_07.jpg,Hier wohnte | Dr. Werner Franz | Kussi | Jg. 1910 | Flucht 1939 Holland | interniert Westerbork | deportiert 1943 | Theresienstadt | 1944 Auschwitz | befreit,,stolperstein,Werner Franz Kussi,,,2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10171535278,POINT (13.7616271 51.0438602),,,memorial,https://commons.wikimedia.org/wiki/File:Stolpersteine_St%C3%BCbelallee_7h_-_06.jpg,Hier wohnte | Dr. Viktor Kussi | Jg. 1897 | Flucht 1939 Holland | interniert Westerbork | deportiert 1943 | Theresienstadt | ermordet 30.10.1944 | Auschwitz,,stolperstein,Viktor Kussi,,,2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10171535279,POINT (13.7616281 51.043861),,,memorial,https://commons.wikimedia.org/wiki/File:Stolpersteine_St%C3%BCbelallee_7h_-_05.jpg,Hier wohnte | Olga Kussi | geb. Langer | Jg. 1874 | Flucht 1939 Holland | interniert Westerbork | deportiert 1943 | Theresienstadt | ermordet 30.10.1944 | Auschwitz,,stolperstein,Olga Kussi,,,2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://stolpersteine-dresden.de/details/?stein_id=321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
