historical spelling|Type|Link|latitude|longitude|geocode_query|geocode_status|Subfolder|SourceFileStem|modernized_spellings
Weißeriz Bach|Location|https://de.wikipedia.org/wiki/Weißeritz|||Weißeritzbach|no_results|051_1786_Briefe_über_Sachsen_von_einem_Reisenden|56|Weißeritz
Plauischer Grund|Location||||Plauischer Grund|no_results|051_1786_Briefe_über_Sachsen_von_einem_Reisenden|56|Plauischer Grund
Kurfürstlichen Vorwerk Ostra|Location||||Kurfürstliches Vorwerk Ostra|no_results|053_1786_Briefe_über_Sachsen_von_einem_Reisenden|49|Ostra
Lustschloß Uebigau|Location|https://de.wikipedia.org/wiki/Lustschloss_Übigau|||Lustschloss Übigau|no_results|053_1786_Briefe_über_Sachsen_von_einem_Reisenden|49|Lustschloss Übigau
Manheimer Bühne|Location||||Manheimer Bühne|no_results|053_1786_Briefe_über_Sachsen_von_einem_Reisenden|50|Manheimer Bühne
Lehmannische Bad|Location||||Lehmannische Bad|no_results|054_1786_Briefe_über_Sachsen_von_einem_Reisenden|47|Lehmannsbad
Linckische Bad|Location||||Linckische Bad|no_results|054_1786_Briefe_über_Sachsen_von_einem_Reisenden|47|Linckische Bad
Böhmens|Location|https://de.wikipedia.org/wiki/Böhmen|||Böhmens|no_results|054_1786_Briefe_über_Sachsen_von_einem_Reisenden|47|Böhmen
Provianthäuser|Location||||Provianthäuser|no_results|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|17|Provianthäuser
Tarduken|Location||||Tarduken|no_results|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|31|Tarduken
Weßen Thorr|Location||||Weßen Thorr|no_results|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|36|Weßen Thorr
Potschaischen|Location||||Potschaischen|no_results|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|44|Potschaischen
Lehmannsche Bad|Location|https://de.wikipedia.org/wiki/Lehmannsches_Bad|||Lehmannsche Bad|no_results|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|46|Bad Lauterberg
Linkische Bad|Location||||Linkische Bad|no_results|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|46|Linkische Bad
Böhmens|Location|https://de.wikipedia.org/wiki/Böhmen|||Böhmens|no_results|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|46|Böhmen
Weißpritzbrücke|Location||||Weißpritzbrücke|no_results|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|47|Weißpritzbrücke
Kurfürstliches Vorwerk Ostra|Location||||Kurfürstliches Vorwerk Ostra|no_results|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|48|Dresden‑Ostra
Lustschloß Uebigau|Location||||Lustschloss Übigau|no_results|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|48|Lustschloss Übigau
Kurfürstl. Lustschloß Nebigau|Location||||Kurfürstliches Lustschloss Übigau|no_results|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|51|Kurfürstliches Lustschloss Nebigau
Priesniz|Location||||Priesniz|no_results|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|52|Přesnice
Ockeritzer Mühle|Location|https://de.wikipedia.org/wiki/Ockeritzer_Mühle|||Ockeritzer Mühle|no_results|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|54|Ockeritzer Mühle
Mansfeldischen|Location|https://de.wikipedia.org/wiki/Mansfeld|||Mansfeldischen|no_results|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|58|Mansfeld
VorderLEN|Location||||VorderLEN|no_results|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|58|VorderLEN
Mosshinskys Garten|Location||||Moschinskys Garten|no_results|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|59|Mosshinskys Garten
Preufen|Location||||Preufen|no_results|055_1786_Briefe_über_Sachsen_von_einem_Reisenden|64|Preufen
Rödingsbrück|Location||||Rödingsbrück|no_results|056_1786_Briefe_über_Sachsen_von_einem_Reisenden|14|Rödingsbrück
Grafschaft Schönburg|Location|https://de.wikipedia.org/wiki/Schönburg_(Sachsen)|||Grafschaft Schönburg|no_results|057_1787_Briefe_über_Herrnhut_und_andere_Orte_der_Oberlausitz|00000011.tif.original|Grafschaft Schönburg
Prinz Eugenischer Garten|Location|https://de.wikipedia.org/wiki/Prinz‑Eugen‑Garten|||Prinz Eugen Garten|no_results|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|00000015.tif.original|Prinz‑Eugen‑Garten
Kaiserlustschloss|Location|https://de.wikipedia.org/wiki/Kaiserlustschloss|||Kaiserlustschloss|no_results|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|00000015.tif.original|Kaiserlustschloss
Ruinengebäude|Location||||Ruinengebäude|no_results|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|00000017.tif.original|Ruinengebäude
Fürstl. Dietrichstei- sche Pallast|Location|https://de.wikipedia.org/wiki/Palais_Dietrichstein|||Fürstliche Dietrichstein Palais|no_results|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|00000018.tif.original|Fürstlicher Dietrichsteiner Palast
Yirenf|Location||||Yirenf|no_results|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|00000019.tif.original|Yirenf
St. Loretokapell|Location|https://de.wikipedia.org/wiki/Loreto‑Kapelle_(Dresden)|||St. Loreto Kapelle|no_results|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|00000027.tif.original|St. Loreto Kapelle
Graf Coselische (Schloss Cosel)|Location|https://de.wikipedia.org/wiki/Schloss_Cosel|||Schloss Cosel|no_results|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|00000028.tif.original|Graf Coselische (Schloss Cosel)
Katholische Kirche (Dresdner Kathedrale)|Location|https://de.wikipedia.org/wiki/Dresdner_Kathedrale|||Katholische Hofkirche (Dresdner Kathedrale)|no_results|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|00000028.tif.original|Katholische Kathedrale St. Peter und Paul, Dresden
schweizer‑Wache|Location||||Schweizer Wache|no_results|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|00000028.tif.original|Schweizerwache
Audienz Zimmer|Location|https://de.wikipedia.org/wiki/Residenzschloss_Dresden|||Audienzzimmer|no_results|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|00000030.tif.original|Audienzzimmer
Spiegel‑ oder Damenzimmer|Location|https://de.wikipedia.org/wiki/Residenzschloss_Dresden|||Spiegelzimmer|no_results|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|00000030.tif.original|Spiegel‑ oder Damenzimmer
Pfalzbaiern|Location||||Pfalzbaiern|no_results|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|00000030.tif.original|Pfalzbaiern
Schossargasse|Location||||Schossargasse|no_results|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|00000036.tif.original|Schossgasse
grüne Gewölbè|Location||||Grüne Gewölbe|no_results|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|00000036.tif.original|Grüne Gewölbe
Einsiedler-Stube|Location|https://de.wikipedia.org/wiki/Einsiedlerstube|||Einsiedlerstube|no_results|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|00000046.tif.original|Einsiedlerstube
Korallen‑Kabinett|Location|https://de.wikipedia.org/wiki/Kabinett_der_Korallen|||Korallen-Kabinett|no_results|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|00000046.tif.original|Korallen‑Kabinett
SchnecBergh|Location||||SchnecBergh|no_results|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|00000048.tif.original|Schneeberg
Bologneser|Location||||Bologneser Straße|no_results|059_1787_Reise_von_Wien_über_Prag,_Dresden_und_durch_einen_Theil_der_Lausitz_nach_Berlin_und_Potsdam|00000048.tif.original|Bologna
Mogul Reich|Location||||Mogul Reich|no_results|060_1789_Bemerkungen_auf_der_Reise_durch_Frankreich,_Italien_und_Deutschland|360|Mogulreich
kirfürstliche Kapelle|Location||||Kurfürstliche Kapelle|no_results|060_1789_Bemerkungen_auf_der_Reise_durch_Frankreich,_Italien_und_Deutschland|372|kirfürstliche Kapelle
Zhorn|Location||||Zhorn|no_results|061_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen|00000143.tif.original|Zhorn
Ban­terstadt|Location||||Ban­terstadt|no_results|061_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen|00000144.tif.original|Ban­terstadt
Reisewitzschg Garten|Location||||Reisewitz Garten|no_results|062_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen|00000106.tif.original|Reisewitz Garten
Danemarck|Location|https://de.wikipedia.org/wiki/Dänemark|||Danemarck|no_results|062_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen|00000112.tif.original|Dänemark
Pirnaischen Schlage|Location||||Pirnaisches Schloss|no_results|062_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen|00000119.tif.original|Pirnaische Schlage
Seethore|Location||||Seethore|no_results|062_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen|00000119.tif.original|Seethore
Churprinzlichen Palais|Location||||Kurprinzliches Palais|no_results|062_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen|00000120.tif.original|Kurprinzliches Palais
Brüderergäße|Location||||Brüderergasse|no_results|062_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen|00000120.tif.original|Brüderergasse
Glockenslafge|Location||||Glockensaal|no_results|062_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen|00000120.tif.original|Glockenslafge
Witgesnau|Location||||Wittgensau|no_results|063_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen|00000083.tif.original|Wittgenau
Meißnischen|Location||||Meißnische Schweiz|no_results|063_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen|00000091.tif.original|Meißnischen
Weißbuchhen|Location||||Weißbuchhen|no_results|063_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen|00000093.tif.original|Weißbuchen
Brühlsche Vildergallerie|Location|https://de.wikipedia.org/wiki/Br%C3%BChlsche_Terrasse|||Brühlsche Bildergalerie|no_results|063_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen|00000098.tif.original|Brühlsche Wildergalerie
Reisewitschen Garten|Location||||Reisewitschen Garten|no_results|063_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen|00000101.tif.original|Reisweichen Garten
Weiberitz|Location||||Weiberitz|no_results|063_1790_Bemerkungen_auf_einer_Reise_von_Thorn_durch_Posen_nach_Sachsen|00000103.tif.original|Weiberitz
Karlshad|Location||||Karlshad|no_results|067_1791_Briefe_einer_Curländerinn_auf_einer_Reise_durch_Deutschland|75|Kars
Böhmischen Felsenwegen|Location||||Böhmischer Felsenweg|no_results|067_1791_Briefe_einer_Curländerinn_auf_einer_Reise_durch_Deutschland|75|Böhmische Felsenwege
Hu-berstburg|Location||||Hu-berstburg|no_results|072_1793_Briefe_eines_reisenden_Dänen._Geschrieben_im_Jahre_1791_und_1792_während_seiner_Reise_durch_einen_Th|62|Hu-berstburg
Fürstlicher Sitz|Location||||Fürstlicher Sitz|no_results|072_1793_Briefe_eines_reisenden_Dänen._Geschrieben_im_Jahre_1791_und_1792_während_seiner_Reise_durch_einen_Th|63|Fürstlicher Sitz
Meissner Elbbrücke|Location|https://de.wikipedia.org/wiki/Meißner_Elbbrücke|||Meißner Elbbrücke|no_results|075_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|198|Meißner Elbbrücke
Princess Antonischten Garten|Location|https://de.wikipedia.org/wiki/Antonischer_Garten|||Antonischer Garten|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|155|Princess Antonischten Garten
Wirthshausel|Location||||Wirthshausel|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|155|Wirthshausen
Richterscher Garten|Location||||Richterscher Garten|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|156|Richterscher Garten
Elggütch|Location||||Elggütch|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|158|Elggütch
Deutsch-Oügen|Location||||Deutsch-Oügen|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|162|Deutsch-Oügen
Hüthen|Location||||Hüthen|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|162|Hütten
Obernreit in Franken|Location||||Obernreit in Franken|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|164|Obernreit
Wißdrauer Tor|Location|https://de.wikipedia.org/wiki/Wißdrufer_Tor|||Wißdrufer Tor|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|169|Wissdrauer Tor
Plauischer Grund|Location||||Plauischer Grund|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|169|Plauischer Grund
Commothau|Location||||Commothau|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|170|Chomutov
Creuzthurlm|Location||||Creuzthurlm|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|174|Kreuzthürl
Vitzthumschen|Location||||Vitzthumschen|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|174|Vitzthumschen
Flemming'schen Pallais|Location|https://de.wikipedia.org/wiki/Flemming-Palais_(Dresden)|||Fleming'sches Palais|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|174|Flemmingsches Palais
Wilfsdrufers Thore|Location||||Wilhelm'scher Tor|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|175|Wilfsdrufers Thore
Riescheschen Garten|Location||||Riescheschen Garten|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|178|Rieschenscher Garten
Schwebd|Location||||Schwebd|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|178|Schwebda
Dasdorf|Location||||Dasdorf|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|179|Dasdorf
Pallasien|Location||||Pallasien|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|180|Pallasien
Elbuer|Location||||Elbuer|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|180|Elbür
Statue Augusts II|Location|https://de.wikipedia.org/wiki/August_der_Starke|||Augustus II Statue|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|180|Augustus II Statue
Brühlsche Bildergallerie|Location||||Brühlsche Galerie|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|181|Brühlsche Bildergallerie
Altdresden|Location||||Altdresden|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|182|Dresden
Brandruthe|Location||||Brandruthe|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|184|Brandruth
Feuerzange|Location||||Feuerzange|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|184|Feuerzange
Russkammer|Location||||Russkammer|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|185|Russkammer
Hoheitgarten|Location||||Hoheitgarten|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|185|Hoheitgarten
Mozinska|Location||||Mozinska|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|185|Mozinska
Reisewitzens|Location||||Reisewitzens|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|185|Rzeszów
Brühlsche Bildergallerie|Location||||Brühlsche Galerie|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|185|Brühlsche Bildergalerie
Uibisgau|Location||||Uibisgau|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|186|Uibisgau
Wilsdruffer Thore|Location|https://de.wikipedia.org/wiki/Wilsdruffer_Tor|||Wilsdruffer Tor|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|187|Wilsdruffer Tor
Gut stdt|Location||||Gut stdt|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|187|Gutstadt
Schainburg|Location||||Schainburg|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|189|Schaumburg
Madazin|Location||||Madazin|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|189|Madazin
Schwäbischer Reichskreis|Location||||Schwäbischer Reichskreis|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|190|Schwaben
Kurfürstbayerische Lande|Location||||Kurfürstbayerische Lande|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|190|Bayern
Sächsischen Landes|Location|https://de.wikipedia.org/wiki/Sachsen|||Sächsisches Land|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|191|Sachsen
preußischen Staaten|Location|https://de.wikipedia.org/wiki/Preußen|||preußischen Staaten|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|191|Preußische Staaten
Kaiserlichen Staaten|Location||||Kaiserlichen Staaten|no_results|076_1793_Briefe_auf_einer_Reise_durch_Deutschland_im_Jahre_1791|195|Kaiserlichen Staaten
Elbbrücke (Dresden)|Location|https://de.wikipedia.org/wiki/Elbbr%C3%BCcke_(Dresden)|||Elbbrücke (Dresden)|no_results|080_1794_Reise_in_Deutschland,_der_Schweiz,_Italien_und_Sicilien|398|Elbbrücke
Terrasse des Brühlschen Gartens|Location|https://de.wikipedia.org/wiki/Br%C3%BChlscher_Garten|||Terrasse des Brühlschen Gartens|no_results|080_1794_Reise_in_Deutschland,_der_Schweiz,_Italien_und_Sicilien|398|Terrasse des Brühl‑Gartens
Mieglitz|Location|https://de.wikipedia.org/wiki/M%C3%B6glitz|||Möglitz|no_results|081_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000067.tif.original|Mieglitz
Elbsteine|Location|https://de.wikipedia.org/wiki/Elbsteine|||Elbsandsteine|no_results|081_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000074.tif.original|Elbsteine
Pariser Bastille|Location||||Pariser Bastille|no_results|081_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000075.tif.original|Place de la Bastille
Okerwitzer Mühle|Location|https://de.wikipedia.org/wiki/Okerwitzer_M%C3%BChle|||Okerwitz Mühle|no_results|081_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000083.tif.original|Okerwitzer Mühle
Okerwitz|Location|https://de.wikipedia.org/wiki/Okerwitz|||Okerwitz|no_results|081_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000083.tif.original|Okerwitz
Ostrawiese|Location||||Ostrauer Wiese|no_results|081_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000085.tif.original|Ostrawiese
Ostraallee|Location||||Ostrauer Allee|no_results|081_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000085.tif.original|Ostraallee
Marmorhütte|Location||||Marmorhütte (Pirna)|no_results|081_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000085.tif.original|Marmorhütte
Linkische Bad|Location||||Linkische Bad|no_results|081_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000086.tif.original|Linkische Bad
Neustädter Lindenallee|Location||||Neustädter Lindenallee|no_results|081_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000086.tif.original|Neustädter Lindenallee
Reisewischen Garten|Location||||Riesewiesen Garten|no_results|081_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000087.tif.original|Reisewischen Garten
Hegereutters|Location||||Hegerau|no_results|081_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000088.tif.original|Hegereutters
Tharander Bergschlosses|Location||||Tharandter Bergschloss|no_results|081_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000089.tif.original|Tharander Bergschloss
Thales Pfad|Location||||Thalespfad|no_results|081_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000091.tif.original|Thalespfad
Geberden|Location||||Geberden|no_results|081_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000102.tif.original|Geberden
Marseller Zierathen|Location||||Marseller Zierathen|no_results|082_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000035.tif.original|Marseller Zierathen
Magazinführen|Location||||Magazinführen|no_results|082_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000036.tif.original|Magazinführen
Altdresden|Location|https://de.wikipedia.org/wiki/Altstadt_(Dresden)|||Altdresden|no_results|082_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000039.tif.original|Dresden
Brickc|Location||||Brickc|no_results|082_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000041.tif.original|Brickc
Vikthumische Palais|Location||||Vikthumische Palais|no_results|082_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000044.tif.original|Vikthumische Palais
Kurfürstliche Bibliothek|Location|https://de.wikipedia.org/wiki/Staatsbibliothek_Dresden|||Kurfürstliche Bibliothek|no_results|082_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000045.tif.original|Kurfürstliche Bibliothek
Dasdorf|Location||||Dasdorf|no_results|082_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000046.tif.original|Dasdorf
Dellberge|Location||||Delleberg|no_results|082_1795_Kleine_Wanderungen_durch_Sachsen_und_Brandenburg|00000047.tif.original|Dellberge
Lustschloß Uebigen|Location||||Lustschloss Übigau|no_results|087_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften|00000168.tif.original|Lustschloss Übig
Naumannische Weinberg|Location|https://de.wikipedia.org/wiki/Naumann%27scher_Weinberg|||Naumann'scher Weinberg|no_results|087_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften|00000168.tif.original|Naumannische Weinberg
Seefers|Location||||Seefers|no_results|087_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften|00000170.tif.original|Seefers
Vorsberg|Location|https://de.wikipedia.org/wiki/Vorsberg|||Vorsberg|no_results|087_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften|00000171.tif.original|Vorsberg
Elbbrücke (Dresden)|Location|https://de.wikipedia.org/wiki/Elbbrücke_(Dresden)|||Elbbrücke (Dresden)|no_results|087_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften|00000179.tif.original|Elbbrücke
Lehmannisches Bad|Location|https://de.wikipedia.org/wiki/Lehmannsches_Bad|||Lehmannsches Bad|no_results|087_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften|00000181.tif.original|Lehmannisches Bad
Kurfürstliches Haus|Location|https://de.wikipedia.org/wiki/Residenzschloss_(Dresden)|||Kurfürstliches Haus|no_results|087_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften|00000211.tif.original|Kurfürstliches Haus
Knickzbach|Location||||Knickzbach|no_results|087_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften|00000219.tif.original|Knickzbach
Anspach‑Bayreuth|Location||||Anspach‑Bayreuth|no_results|088_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften|00000133.tif.original|Anspach‑Bayreuth
Altdresden|Location||||Altdresden|no_results|088_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften|00000143.tif.original|Dresden
Churftüsten|Location||||Churftüsten|no_results|088_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften|00000145.tif.original|Churftüsten
Graaflich Bünauischen|Location|https://de.wikipedia.org/wiki/Bünau_(Sachsen)|||Graaflich Bünauischen|no_results|088_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften|00000153.tif.original|Graaflich Bünauischen
Renfersee|Location||||Renfersee|no_results|088_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften|00000159.tif.original|Renfersee
Parthien|Location||||Parthien|no_results|088_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften|00000163.tif.original|Iran
Lehmannisches Bad|Location|https://de.wikipedia.org/wiki/Lehmannsches_Bad|||Lehmannsches Bad|no_results|088_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften|00000163.tif.original|Lehmannisches Bad
Hofbuchsauspielhause|Location||||Hofbuchsauspielhause|no_results|088_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften|00000164.tif.original|Hofbuchsauspielhaus
Naumanns Weinberg|Location||||Naumann's Weinberg|no_results|088_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften|00000165.tif.original|Naumanns Weinberg
Vorsberg|Location||||Vorsberg|no_results|088_1795_Hans_Kiekindiewelts_Reisen_in_alle_vier_Weltteile_und_andere_Schriften|00000165.tif.original|Vorsberg
Lehrmannisches Bad|Location|https://de.wikipedia.org/wiki/Lehrmannisches_Bad|||Lehrmannisches Bad|no_results|090_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands|185|Lehrmannisches Bad
Pfalzweibrücken|Location||||Pfalzweibrücken|no_results|090_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands|187|Pfalz‑Zweibrücken
Hoffsitthen|Location||||Hoffsitthen|no_results|090_1795_Wanderungen_und_Kreuzzüge_durch_einen_Theil_Deutschlands|202|Hoffsitthen
